IBDate, IBOpen , IBHigh , IBLow , IBClose ,YEDate, YEOpen , YEHigh , YELow , YEClose ,INDate,INOpen,INHigh,INLow,INClose,GADate, GAOpen , GAHigh , GALow , GAClose ,HDDate, HDOpen , HDHigh , HDLow , HDClose 
22-05-2019,802,808.15,774.8,734.22,22-05-2019, 141.00 , 141.25 , 135.50 , 133.87 ,22-05-2019,1446.949951,1536.849976,1382.300049,1510.91333,22-05-2019, 169.35 , 170.88 , 167.10 , 158.49 ,22-05-2019, 61.50 , 61.67 , 61.22 , 60.93 
23-05-2019,809,834.4,775.25,733.28,23-05-2019, 143.90 , 150.80 , 138.75 , 136.01 ,23-05-2019,1547,1640,1543.150024,1590.343506,23-05-2019, 171.00 , 171.32 , 168.45 , 158.99 ,23-05-2019, 59.85 , 59.99 , 59.50 , 59.29 
24-05-2019,792,798.9,774.2,743.16,24-05-2019, 141.00 , 142.90 , 139.50 , 137.43 ,24-05-2019,1608.699951,1658,1594,1640.229736,24-05-2019, 169.00 , 171.30 , 167.57 , 160.73 ,24-05-2019, 60.45 , 61.65 , 60.42 , 60.93 
27-05-2019,790,808.7,784.7,741.1,27-05-2019, 142.00 , 148.45 , 140.85 , 142.88 ,27-05-2019,1647.900024,1647.900024,1607,1604.31958,27-05-2019, 171.50 , 175.50 , 170.88 , 163.88 ,28-05-2019, 61.37 , 62.14 , 61.37 , 61.58 
28-05-2019,799.5,799.7,780,734.13,28-05-2019, 148.95 , 154.90 , 148.20 , 148.72 ,28-05-2019,1615,1632,1596.699951,1611.133545,28-05-2019, 176.95 , 177.35 , 172.75 , 164.07 ,29-05-2019, 61.78 , 61.90 , 61.22 , 61.21 
29-05-2019,784,787.4,763.7,727.9,29-05-2019, 154.00 , 156.00 , 150.65 , 147.64 ,29-05-2019,1617,1629.349976,1602.050049,1600.191406,29-05-2019, 175.00 , 181.05 , 174.73 , 166.42 ,30-05-2019, 62.10 , 62.36 , 61.82 , 61.55 
30-05-2019,780,793.05,771.35,724.39,30-05-2019, 150.20 , 156.50 , 149.90 , 150.86 ,30-05-2019,1608.599976,1621.599976,1580.550049,1578.555786,30-05-2019, 177.93 , 180.25 , 176.68 , 169.01 ,31-05-2019, 61.50 , 62.10 , 61.37 , 61.65 
31-05-2019,779.5,800.5,775.25,736.09,31-05-2019, 156.60 , 157.00 , 147.00 , 143.85 ,31-05-2019,1599,1610.949951,1555.050049,1596.908691,31-05-2019, 180.00 , 181.55 , 178.23 , 169.83 ,03-06-2019, 62.50 , 63.65 , 62.50 , 62.58 
03-06-2019,788.85,817.8,776.5,758.83,03-06-2019, 148.00 , 149.90 , 144.50 , 147.45 ,03-06-2019,1600.099976,1667,1589.699951,1653.907471,03-06-2019, 181.45 , 182.70 , 178.30 , 168.16 ,04-06-2019, 63.30 , 63.63 , 62.26 , 63.19 
04-06-2019,814.35,819.9,791.75,745.36,04-06-2019, 148.80 , 153.85 , 148.55 , 152.80 ,04-06-2019,1663,1672.949951,1630,1629.387085,04-06-2019, 178.00 , 180.18 , 177.55 , 168.54 ,05-06-2019, 63.87 , 64.40 , 63.40 , 63.57 
06-06-2019,773.95,773.95,728.55,688.6,06-06-2019, 148.45 , 151.20 , 142.30 , 143.40 ,06-06-2019,1634.699951,1634.699951,1510,1514.643677,06-06-2019, 167.50 , 169.32 , 157.13 , 148.80 ,06-06-2019, 63.50 , 63.94 , 62.94 , 63.43 
07-06-2019,737.55,768,712.35,684.2,07-06-2019, 143.40 , 145.45 , 136.15 , 139.90 ,07-06-2019,1530,1560,1482.050049,1544.038208,07-06-2019, 158.55 , 160.45 , 153.85 , 147.65 ,07-06-2019, 64.13 , 64.60 , 63.65 , 63.93 
10-06-2019,748,755,723.5,686.3,10-06-2019, 141.90 , 145.00 , 132.55 , 135.90 ,10-06-2019,1564,1585.099976,1536.150024,1543.491089,10-06-2019, 159.50 , 160.00 , 153.23 , 144.54 ,10-06-2019, 64.50 , 64.80 , 64.06 , 63.87 
11-06-2019,700,714.95,668.6,631.28,11-06-2019, 135.00 , 143.50 , 133.75 , 139.55 ,11-06-2019,1564,1595.300049,1563,1582.236328,11-06-2019, 154.50 , 156.00 , 151.43 , 143.98 ,11-06-2019, 64.42 , 65.20 , 64.01 , 64.63 
12-06-2019,668,669,608.75,581.21,12-06-2019, 136.00 , 137.80 , 133.60 , 134.75 ,12-06-2019,1597,1602.599976,1561.199951,1561.595337,12-06-2019, 153.75 , 156.25 , 153.02 , 145.88 ,12-06-2019, 64.83 , 64.86 , 63.92 , 63.70 
13-06-2019,614.1,698.8,588.2,649.76,13-06-2019, 130.80 , 130.80 , 116.00 , 117.10 ,13-06-2019,1520,1525,1440,1481.02124,13-06-2019, 155.15 , 155.90 , 153.55 , 144.94 ,13-06-2019, 64.41 , 64.41 , 63.50 , 63.28 
14-06-2019,707,708.7,662.15,629.12,14-06-2019, 118.50 , 121.00 , 112.85 , 115.05 ,14-06-2019,1493,1495,1411.25,1419.297607,14-06-2019, 154.25 , 155.77 , 153.77 , 145.13 ,14-06-2019, 63.57 , 64.39 , 63.54 , 63.71 
17-06-2019,673.45,683.9,646.4,612.7,17-06-2019, 118.00 , 118.35 , 113.75 , 116.15 ,17-06-2019,1427.5,1449.900024,1396.199951,1392.290405,17-06-2019, 154.50 , 154.90 , 151.30 , 143.93 ,17-06-2019, 64.02 , 64.28 , 63.45 , 63.08 
18-06-2019,650,655.2,604.2,570.68,18-06-2019, 116.00 , 117.50 , 107.10 , 109.30 ,18-06-2019,1410.5,1444.849976,1400.099976,1401.591187,18-06-2019, 153.35 , 154.43 , 152.05 , 144.92 ,18-06-2019, 63.86 , 64.13 , 63.30 , 62.97 
19-06-2019,620,635.8,487.85,519.86,19-06-2019, 109.00 , 111.45 , 101.30 , 103.20 ,19-06-2019,1424.800049,1439,1370.099976,1374.086548,19-06-2019, 155.00 , 155.50 , 152.38 , 144.78 ,19-06-2019, 63.28 , 63.44 , 62.79 , 63.21 
